년도,자치구,범죄유형,발생건수,검거건수
2014,종로구,소계,5021,4610
2014,중구,소계,5231,3188
2014,용산구,소계,3799,2340
2014,성동구,소계,3582,2048
2014,광진구,소계,6268,3531
2014,동대문구,소계,4363,2882
2014,중랑구,소계,5353,3259
2014,성북구,소계,4606,3028
2014,강북구,소계,4030,2806
2014,도봉구,소계,3124,1986
2014,노원구,소계,5312,3300
2014,은평구,소계,5431,3325
2014,서대문구,소계,4194,2588
2014,마포구,소계,5740,3136
2014,양천구,소계,4642,2654
2014,강서구,소계,5289,3225
2014,구로구,소계,5389,2985
2014,금천구,소계,3842,2434
2014,영등포구,소계,7003,4072
2014,동작구,소계,3869,2312
2014,관악구,소계,6781,3701
2014,서초구,소계,5558,3122
2014,강남구,소계,8851,5262
2014,송파구,소계,8004,3982
2014,강동구,소계,5392,3285
2014,종로구,살인,3,7
2014,중구,살인,6,5
2014,용산구,살인,1,2
2014,성동구,살인,1,1
2014,광진구,살인,8,9
2014,동대문구,살인,12,11
2014,중랑구,살인,11,10
2014,성북구,살인,8,5
2014,강북구,살인,6,5
2014,도봉구,살인,6,7
2014,노원구,살인,5,4
2014,은평구,살인,5,3
2014,서대문구,살인,3,3
2014,마포구,살인,4,4
2014,양천구,살인,5,5
2014,강서구,살인,8,6
2014,구로구,살인,3,3
2014,금천구,살인,7,7
2014,영등포구,살인,14,15
2014,동작구,살인,2,2
2014,관악구,살인,7,8
2014,서초구,살인,6,9
2014,강남구,살인,13,9
2014,송파구,살인,9,8
2014,강동구,살인,5,4
2014,종로구,강도,12,15
2014,중구,강도,13,13
2014,용산구,강도,7,7
2014,성동구,강도,5,6
2014,광진구,강도,16,22
2014,동대문구,강도,13,8
2014,중랑구,강도,14,11
2014,성북구,강도,16,20
2014,강북구,강도,21,10
2014,도봉구,강도,11,15
2014,노원구,강도,8,7
2014,은평구,강도,24,21
2014,서대문구,강도,4,7
2014,마포구,강도,22,9
2014,양천구,강도,11,10
2014,강서구,강도,9,9
2014,구로구,강도,14,10
2014,금천구,강도,9,6
2014,영등포구,강도,10,5
2014,동작구,강도,9,7
2014,관악구,강도,25,22
2014,서초구,강도,14,12
2014,강남구,강도,37,29
2014,송파구,강도,9,10
2014,강동구,강도,10,8
2014,종로구,강간·강제추행,226,948
2014,중구,강간·강제추행,221,161
2014,용산구,강간·강제추행,213,169
2014,성동구,강간·강제추행,141,103
2014,광진구,강간·강제추행,249,199
2014,동대문구,강간·강제추행,141,112
2014,중랑구,강간·강제추행,163,118
2014,성북구,강간·강제추행,165,128
2014,강북구,강간·강제추행,189,152
2014,도봉구,강간·강제추행,172,159
2014,노원구,강간·강제추행,173,136
2014,은평구,강간·강제추행,188,158
2014,서대문구,강간·강제추행,185,150
2014,마포구,강간·강제추행,265,218
2014,양천구,강간·강제추행,129,96
2014,강서구,강간·강제추행,214,179
2014,구로구,강간·강제추행,252,186
2014,금천구,강간·강제추행,162,133
2014,영등포구,강간·강제추행,250,183
2014,동작구,강간·강제추행,203,120
2014,관악구,강간·강제추행,361,238
2014,서초구,강간·강제추행,285,184
2014,강남구,강간·강제추행,512,403
2014,송파구,강간·강제추행,255,195
2014,강동구,강간·강제추행,148,129
2014,종로구,절도,2272,1281
2014,중구,절도,2576,887
2014,용산구,절도,1560,522
2014,성동구,절도,1753,529
2014,광진구,절도,3167,1001
2014,동대문구,절도,1809,676
2014,중랑구,절도,2390,823
2014,성북구,절도,2130,935
2014,강북구,절도,1494,575
2014,도봉구,절도,1350,478
2014,노원구,절도,2404,803
2014,은평구,절도,2352,798
2014,서대문구,절도,1883,665
2014,마포구,절도,2763,742
2014,양천구,절도,2058,630
2014,강서구,절도,2341,734
2014,구로구,절도,2377,579
2014,금천구,절도,1552,496
2014,영등포구,절도,3080,892
2014,동작구,절도,1787,603
2014,관악구,절도,3029,784
2014,서초구,절도,2747,782
2014,강남구,절도,3895,1193
2014,송파구,절도,4199,885
2014,강동구,절도,2425,827
2014,종로구,폭력,2508,2359
2014,중구,폭력,2415,2122
2014,용산구,폭력,2018,1640
2014,성동구,폭력,1682,1409
2014,광진구,폭력,2828,2300
2014,동대문구,폭력,2388,2075
2014,중랑구,폭력,2775,2297
2014,성북구,폭력,2287,1940
2014,강북구,폭력,2320,2064
2014,도봉구,폭력,1585,1327
2014,노원구,폭력,2722,2350
2014,은평구,폭력,2862,2345
2014,서대문구,폭력,2119,1763
2014,마포구,폭력,2686,2163
2014,양천구,폭력,2439,1913
2014,강서구,폭력,2717,2297
2014,구로구,폭력,2743,2207
2014,금천구,폭력,2112,1792
2014,영등포구,폭력,3649,2977
2014,동작구,폭력,1868,1580
2014,관악구,폭력,3359,2649
2014,서초구,폭력,2506,2135
2014,강남구,폭력,4394,3628
2014,송파구,폭력,3532,2884
2014,강동구,폭력,2804,2317
2015,종로구,소계,4705,4430
2015,중구,소계,4954,2942
2015,용산구,소계,3820,2483
2015,성동구,소계,3358,2123
2015,광진구,소계,5909,3707
2015,동대문구,소계,4720,3205
2015,중랑구,소계,5193,3405
2015,성북구,소계,4154,2729
2015,강북구,소계,4257,3113
2015,도봉구,소계,2664,1900
2015,노원구,소계,5130,3268
2015,은평구,소계,4745,3167
2015,서대문구,소계,4029,2579
2015,마포구,소계,5854,3597
2015,양천구,소계,4528,2815
2015,강서구,소계,5585,4190
2015,구로구,소계,5646,3502
2015,금천구,소계,3781,2796
2015,영등포구,소계,6867,4154
2015,동작구,소계,4074,2397
2015,관악구,소계,6345,3712
2015,서초구,소계,5444,3450
2015,강남구,소계,8617,5732
2015,송파구,소계,6778,4113
2015,강동구,소계,5244,3171
2015,종로구,살인,6,8
2015,중구,살인,3,2
2015,용산구,살인,5,5
2015,성동구,살인,4,4
2015,광진구,살인,4,4
2015,동대문구,살인,5,5
2015,중랑구,살인,13,12
2015,성북구,살인,5,5
2015,강북구,살인,7,8
2015,도봉구,살인,3,3
2015,노원구,살인,10,10
2015,은평구,살인,3,3
2015,서대문구,살인,2,2
2015,마포구,살인,8,8
2015,양천구,살인,3,5
2015,강서구,살인,7,8
2015,구로구,살인,8,6
2015,금천구,살인,3,4
2015,영등포구,살인,14,12
2015,동작구,살인,5,5
2015,관악구,살인,9,8
2015,서초구,살인,8,6
2015,강남구,살인,13,10
2015,송파구,살인,11,10
2015,강동구,살인,4,3
2015,종로구,강도,11,13
2015,중구,강도,9,6
2015,용산구,강도,14,14
2015,성동구,강도,9,8
2015,광진구,강도,14,26
2015,동대문구,강도,13,13
2015,중랑구,강도,11,9
2015,성북구,강도,5,4
2015,강북구,강도,14,13
2015,도봉구,강도,9,10
2015,노원구,강도,7,7
2015,은평구,강도,9,6
2015,서대문구,강도,5,4
